name,website,city,industry,employees,short_description,tags,founded,linkedin,product_leader,opportunity
Ligtas Consultancy & Training,http://www.ligtas.co.uk,Cardiff,management consulting,77,,"bespoke health & safety training, health & safety training, construction safety, health & safety management procedures, health & safety, gap analysis",2019,http://www.linkedin.com/company/ligtas-limited,None found in Apollo,🎯 Target — no product leader found
Tremorfa,http://www.tremorfa.com,Castleton,construction,77,,"fire detection alarms, gates barriers, fire alarms, electrical engineering, physical security, cad",1984,http://www.linkedin.com/company/tremorfa-ltd,None found in Apollo,🎯 Target — no product leader found
Stripe OLT,http://www.stripeolt.com,Bristol,information technology & services,76,,"network support, it helpdesk, 247 soc, windows server, microsoft sentinel, microsoft partner",2004,http://www.linkedin.com/company/stripe-consulting-ltd,None found in Apollo,🎯 Target — no product leader found
Health and Care Research Wales,http://www.healthandcareresearchwales.org,Cardiff,hospital & health care,74,,"hospitals & health care, healthcare improvement, clinical research, health care, research in wales, health research",2015,http://www.linkedin.com/company/health-and-care-research-wales,None found in Apollo,🎯 Target — no product leader found
Armadillo - A Bond Company,http://www.armadillocrm.com,Bristol,marketing & advertising,73,,"customer experience, crm, data planning, branding, creative, digital marketing",1991,http://www.linkedin.com/company/armadillo-crm,None found in Apollo,🎯 Target — no product leader found
The Institute of Asset Management,http://www.theiam.org,Bristol,professional training & coaching,73,,"publications resources, events conferences, qualifications, knowledge creation, publications amp resources, asset management",1994,http://www.linkedin.com/company/the-iam,None found in Apollo,🎯 Target — no product leader found
XMOS,http://www.xmos.com,Bristol,semiconductors,73,,"microcontrollers, hires audio, alpr, gensoc, farfield, voice processors",2005,http://www.linkedin.com/company/xmos,None found in Apollo,🎯 Target — no product leader found
Metclouds Technologies,http://www.metclouds.com,Bristol,information technology & services,72,,"application development, cloudstack, ruby on rails, devops, openstack, remote it infrastructure management",2009,http://www.linkedin.com/company/metclouds-technologies,None found in Apollo,🎯 Target — no product leader found
EXPEDITE,http://www.expediteps.com,Cardiff,construction,71,,"structural engineering, quantity surveying, principal designer, building services, civil engineering, project management",2014,http://www.linkedin.com/company/expediteps,None found in Apollo,🎯 Target — no product leader found
Ghyston,http://www.ghyston.com,Bristol,information technology & services,70,,"website design, web development, design, software development, mobile, customer experience",2012,http://www.linkedin.com/company/ghyston,None found in Apollo,🎯 Target — no product leader found
Evolve IP,http://www.evolveip.uk,Rhoose,telecommunications,70,,"cloud computing, voip, unifed communications, contact centers, enterprise software, software",2009,http://www.linkedin.com/company/evolve-ip-global,None found in Apollo,🎯 Target — no product leader found
Atlantic Pacific Marine Ltd,http://www.atlanticpacific.co,Cardiff,information technology & services,69,,"dry dock maintenance, inservice repair, cruise liner refurbishments, sewerage system installs, marine pipework, tank cleaning amp coating",2010,http://www.linkedin.com/company/atlantic-pacific-marine-ltd,None found in Apollo,🎯 Target — no product leader found
